id,brand,model,manufacturing_year,status
3,Toyota,RAV4,2023,Rented
4,Toyota,Hilux,2020,Available
5,Honda,Civic,2022,Available
6,Honda,Accord,2021,Rented
7,Honda,CR-V,2023,Available
8,Honda,Pilot,2020,Maintenance
9,Hyundai,Elantra,2022,Available
10,Hyundai,Tucson,2021,Rented
11,Hyundai,Santa Fe,2023,Available
12,Hyundai,Venue,2020,Available
13,Kia,Rio,2022,Available
14,Kia,Sportage,2021,Maintenance
15,Kia,Sorento,2023,Available
17,Nissan,Sentra,2021,Available
18,Nissan,Versa,2020,Available
19,Nissan,X-Trail,2023,Rented
20,Nissan,Frontier,2022,Available
21,Mazda,Mazda3,2021,Available
22,Mazda,CX-5,2023,Maintenance
23,Mazda,CX-30,2022,Available
24,Chevrolet,Onix,2021,Available
25,Chevrolet,Tracker,2023,Rented
26,Chevrolet,Captiva,2020,Available
27,Ford,Focus,2021,Available
28,Ford,Escape,2022,Maintenance
29,Ford,Explorer,2023,Available
30,Ford,Ranger,2020,Rented
31,Volkswagen,Jetta,2022,Available
32,Volkswagen,Tiguan,2023,Available
33,Volkswagen,Taos,2021,Rented
35,BMW,X3,2023,Maintenance
36,BMW,X5,2021,Available
37,Mercedes-Benz,GLA 200,2022,Available
38,Mercedes-Benz,GLC 300,2023,Rented
39,Mercedes-Benz,GLE 450,2021,Available
40,Audi,A3,2022,Available
41,Audi,Q3,2023,Maintenance
42,Audi,Q5,2021,Available
43,Jeep,Compass,2022,Rented
44,Jeep,Cherokee,2021,Available
45,Jeep,Wrangler,2023,Available
46,Subaru,Impreza,2022,Available
47,Subaru,Forester,2021,Maintenance
48,Subaru,Outback,2023,Available
49,Mitsubishi,ASX,2022,Rented
50,Mitsubishi,L200,2021,Available
51,Hyundai,Elantra,2011,Available
1,Toyota,Corolla,2022,Rented
52,Hyundai,Tucson,2013,Available
2,Toyota,Yaris,2021,Rented
34,BMW,X1,2022,Maintenance
16,Kia,Seltos,2022,Available
