id,user_id,car_id,rental_date,rental_status
2,2,6,2026-06-18 11:15:50.766299,Completed
3,3,10,2026-06-18 11:15:50.766299,Completed
5,5,19,2026-06-18 11:15:50.766299,Completed
6,6,25,2026-06-18 11:15:50.766299,Completed
7,7,30,2026-06-18 11:15:50.766299,Completed
8,8,33,2026-06-18 11:15:50.766299,Active
9,9,38,2026-06-18 11:15:50.766299,Completed
10,10,43,2026-06-18 11:15:50.766299,Active
11,11,46,2026-06-18 11:15:50.766299,Completed
12,12,49,2026-06-18 11:15:50.766299,Completed
13,13,1,2026-06-18 11:15:50.766299,Completed
14,14,2,2026-06-18 11:15:50.766299,Completed
15,15,4,2026-06-18 11:15:50.766299,Active
16,16,5,2026-06-18 11:15:50.766299,Completed
17,17,7,2026-06-18 11:15:50.766299,Completed
18,18,8,2026-06-18 11:15:50.766299,Active
19,19,9,2026-06-18 11:15:50.766299,Completed
20,20,11,2026-06-18 11:15:50.766299,Completed
21,21,12,2026-06-18 11:15:50.766299,Completed
22,22,13,2026-06-18 11:15:50.766299,Active
23,23,14,2026-06-18 11:15:50.766299,Completed
24,24,15,2026-06-18 11:15:50.766299,Completed
25,25,17,2026-06-18 11:15:50.766299,Active
26,26,18,2026-06-18 11:15:50.766299,Completed
27,27,20,2026-06-18 11:15:50.766299,Completed
28,28,21,2026-06-18 11:15:50.766299,Completed
29,29,23,2026-06-18 11:15:50.766299,Active
30,30,24,2026-06-18 11:15:50.766299,Completed
31,31,26,2026-06-18 11:15:50.766299,Completed
32,32,27,2026-06-18 11:15:50.766299,Active
33,33,28,2026-06-18 11:15:50.766299,Completed
34,34,29,2026-06-18 11:15:50.766299,Completed
35,35,31,2026-06-18 11:15:50.766299,Completed
36,36,32,2026-06-18 11:15:50.766299,Completed
37,37,34,2026-06-18 11:15:50.766299,Active
38,38,35,2026-06-18 11:15:50.766299,Completed
39,39,36,2026-06-18 11:15:50.766299,Completed
40,40,37,2026-06-18 11:15:50.766299,Active
41,41,39,2026-06-18 11:15:50.766299,Completed
42,42,40,2026-06-18 11:15:50.766299,Completed
43,43,41,2026-06-18 11:15:50.766299,Active
44,44,42,2026-06-18 11:15:50.766299,Completed
45,45,44,2026-06-18 11:15:50.766299,Completed
46,46,45,2026-06-18 11:15:50.766299,Active
47,47,47,2026-06-18 11:15:50.766299,Completed
48,48,48,2026-06-18 11:15:50.766299,Completed
49,49,50,2026-06-18 11:15:50.766299,Active
50,50,22,2026-06-18 11:15:50.766299,Completed
51,1,1,2026-06-23 23:05:07.882105,Active
52,2,2,2026-06-23 23:15:29.896316,Active
1,1,3,2026-06-18 11:15:50.766299,Completed
4,4,16,2026-06-18 11:15:50.766299,Completed
